Building,Level,CostWood,CostClay,CostIron,CostBrewery,UpgradeTime,ProdWood,ProdClay,ProdIron,ProdBrewery,WarehouseCap,GranaryCap,TrainMult,DefenseMult,CrannyCap,TradeRate,Score
WoodCutter,1,40,100,50,60,30s,5,,,,,,,,,,10
WoodCutter,2,55,140,70,85,1m,9,,,,,,,,,,20
WoodCutter,3,80,195,100,120,5m,15,,,,,,,,,,40
WoodCutter,4,110,275,135,165,15m,22,,,,,,,,,,80
WoodCutter,5,155,385,190,230,40m,33,,,,,,,,,,150
WoodCutter,6,215,540,270,325,1h,44,,,,,,,,,,250
WoodCutter,7,300,755,375,450,2h,59,,,,,,,,,,400
WoodCutter,8,420,1055,525,630,4h,78,,,,,,,,,,600
WoodCutter,9,590,1475,740,885,8h,104,,,,,,,,,,900
WoodCutter,10,825,2065,1035,1240,12h,138,,,,,,,,,,1300
WoodCutter,11,1155,2895,1445,1735,18h,184,,,,,,,,,,1800
WoodCutter,12,1620,4050,2025,2430,1d,245,,,,,,,,,,2500
WoodCutter,13,2270,5670,2835,3400,1.5d,326,,,,,,,,,,3500
WoodCutter,14,3175,7935,3970,4760,2d,433,,,,,,,,,,5000
WoodCutter,15,4445,11110,5555,6665,2.5d,576,,,,,,,,,,7000
WoodCutter,16,6225,15555,7780,9335,3d,766,,,,,,,,,,10000
WoodCutter,17,8710,21780,10890,13070,4d,1019,,,,,,,,,,14000
WoodCutter,18,12195,30490,15245,18295,5d,1355,,,,,,,,,,20000
WoodCutter,19,17075,42690,21345,25615,7d,1802,,,,,,,,,,28000
WoodCutter,20,23905,59765,29880,35860,10d,2397,,,,,,,,,,40000
ClayPit,1,80,40,50,60,30s,,5,,,,,,,,,10
ClayPit,2,110,55,70,85,1m,,9,,,,,,,,,20
ClayPit,3,155,80,100,120,5m,,15,,,,,,,,,40
ClayPit,4,220,110,135,165,15m,,22,,,,,,,,,80
ClayPit,5,305,155,190,230,40m,,33,,,,,,,,,150
ClayPit,6,430,215,270,325,1h,,44,,,,,,,,,250
ClayPit,7,600,300,375,450,2h,,59,,,,,,,,,400
ClayPit,8,845,420,525,630,4h,,78,,,,,,,,,600
ClayPit,9,1180,590,740,885,8h,,104,,,,,,,,,900
ClayPit,10,1655,825,1035,1240,12h,,138,,,,,,,,,1300
ClayPit,11,2315,1155,1445,1735,18h,,184,,,,,,,,,1800
ClayPit,12,3240,1620,2025,2430,1d,,245,,,,,,,,,2500
ClayPit,13,4535,2270,2835,3400,1.5d,,326,,,,,,,,,3500
ClayPit,14,6350,3175,3970,4760,2d,,433,,,,,,,,,5000
ClayPit,15,8890,4445,5555,6665,2.5d,,576,,,,,,,,,7000
ClayPit,16,12445,6225,7780,9335,3d,,766,,,,,,,,,10000
ClayPit,17,17425,8710,10890,13070,4d,,1019,,,,,,,,,14000
ClayPit,18,24395,12195,15245,18295,5d,,1355,,,,,,,,,20000
ClayPit,19,34150,17075,21345,25615,7d,,1802,,,,,,,,,28000
ClayPit,20,47810,23905,29880,35860,10d,,2397,,,,,,,,,40000
IronMine,1,100,80,30,60,30s,,,5,,,,,,,,10
IronMine,2,140,110,40,85,1m,,,9,,,,,,,,20
IronMine,3,195,155,60,120,5m,,,15,,,,,,,,40
IronMine,4,275,220,80,165,15m,,,22,,,,,,,,80
IronMine,5,385,305,115,230,40m,,,33,,,,,,,,150
IronMine,6,540,430,160,325,1h,,,44,,,,,,,,250
IronMine,7,755,600,225,450,2h,,,59,,,,,,,,400
IronMine,8,1055,845,315,630,4h,,,78,,,,,,,,600
IronMine,9,1475,1180,445,885,8h,,,104,,,,,,,,900
IronMine,10,2065,1655,620,1240,12h,,,138,,,,,,,,1300
IronMine,11,2895,2315,870,1735,18h,,,184,,,,,,,,1800
IronMine,12,4050,3240,1215,2430,1d,,,245,,,,,,,,2500
IronMine,13,5670,4535,1700,3400,1.5d,,,326,,,,,,,,3500
IronMine,14,7935,6350,2380,4760,2d,,,433,,,,,,,,5000
IronMine,15,11110,8890,3335,6665,2.5d,,,576,,,,,,,,7000
IronMine,16,15555,12445,4665,9335,3d,,,766,,,,,,,,10000
IronMine,17,21780,17425,6535,13070,4d,,,1019,,,,,,,,14000
IronMine,18,30490,24395,9145,18295,5d,,,1355,,,,,,,,20000
IronMine,19,42690,34150,12805,25615,7d,,,1802,,,,,,,,28000
IronMine,20,59765,47810,17930,35860,10d,,,2397,,,,,,,,40000
Brewery,1,70,90,70,20,30s,,,,5,,,,,,,10
Brewery,2,100,125,100,30,1m,,,,9,,,,,,,20
Brewery,3,135,175,135,40,5m,,,,15,,,,,,,40
Brewery,4,190,245,190,55,15m,,,,22,,,,,,,80
Brewery,5,270,345,270,75,40m,,,,33,,,,,,,150
Brewery,6,375,485,375,110,1h,,,,44,,,,,,,250
Brewery,7,525,680,525,150,2h,,,,59,,,,,,,400
Brewery,8,740,950,740,210,4h,,,,78,,,,,,,600
Brewery,9,1035,1330,1035,295,8h,,,,104,,,,,,,900
Brewery,10,1445,1860,1445,415,12h,,,,138,,,,,,,1300
Brewery,11,2025,2605,2025,580,18h,,,,184,,,,,,,1800
Brewery,12,2835,3645,2835,810,1d,,,,245,,,,,,,2500
Brewery,13,3970,5100,3970,1135,1.5d,,,,326,,,,,,,3500
Brewery,14,5555,7145,5555,1585,2d,,,,433,,,,,,,5000
Brewery,15,7780,10000,7780,2220,2.5d,,,,576,,,,,,,7000
Brewery,16,10890,14000,10890,3110,3d,,,,766,,,,,,,10000
Brewery,17,15245,19600,15245,4355,4d,,,,1019,,,,,,,14000
Brewery,18,21345,27440,21345,6100,5d,,,,1355,,,,,,,20000
Brewery,19,29880,38420,29880,8540,7d,,,,1802,,,,,,,28000
Brewery,20,41835,53785,41835,11955,10d,,,,2397,,,,,,,40000
Warehouse,1,130,160,90,40,30s,,,,,800,,,,,,10
Warehouse,2,180,225,125,55,1m,,,,,1200,,,,,,20
Warehouse,3,255,315,175,80,5m,,,,,1700,,,,,,40
Warehouse,4,355,440,245,110,15m,,,,,2400,,,,,,80
Warehouse,5,500,615,345,155,40m,,,,,3300,,,,,,150
Warehouse,6,700,860,485,215,1h,,,,,4400,,,,,,250
Warehouse,7,980,1205,680,300,2h,,,,,5800,,,,,,400
Warehouse,8,1370,1685,950,420,4h,,,,,7500,,,,,,600
Warehouse,9,1920,2360,1330,590,8h,,,,,9600,,,,,,900
Warehouse,10,2685,3305,1860,825,12h,,,,,12000,,,,,,1300
Warehouse,11,3760,4630,2605,1155,18h,,,,,15500,,,,,,1800
Warehouse,12,5265,6480,3645,1620,1d,,,,,20000,,,,,,2500
Warehouse,13,7370,9070,5100,2270,1.5d,,,,,25500,,,,,,3500
Warehouse,14,10320,12700,7145,3175,2d,,,,,32000,,,,,,5000
Warehouse,15,14445,17780,10000,4445,2.5d,,,,,40000,,,,,,7000
Warehouse,16,20225,24890,14000,6225,3d,,,,,50000,,,,,,10000
Warehouse,17,28315,34845,19600,8710,4d,,,,,62000,,,,,,14000
Warehouse,18,39640,48785,27440,12195,5d,,,,,76000,,,,,,20000
Warehouse,19,55495,68300,38420,17075,7d,,,,,92000,,,,,,28000
Warehouse,20,77690,95620,53785,23905,10d,,,,,110000,,,,,,40000
Granary,1,80,100,70,20,30s,,,,,,800,,,,,10
Granary,2,110,140,100,30,1m,,,,,,1200,,,,,20
Granary,3,155,195,135,40,5m,,,,,,1700,,,,,40
Granary,4,220,275,190,55,15m,,,,,,2400,,,,,80
Granary,5,305,385,270,75,40m,,,,,,3300,,,,,150
Granary,6,430,540,375,110,1h,,,,,,4400,,,,,250
Granary,7,600,755,525,150,2h,,,,,,5800,,,,,400
Granary,8,845,1055,740,210,4h,,,,,,7500,,,,,600
Granary,9,1180,1475,1035,295,8h,,,,,,9600,,,,,900
Granary,10,1655,2065,1445,415,12h,,,,,,12000,,,,,1300
Granary,11,2315,2895,2025,580,18h,,,,,,15500,,,,,1800
Granary,12,3240,4050,2835,810,1d,,,,,,20000,,,,,2500
Granary,13,4535,5670,3970,1135,1.5d,,,,,,25500,,,,,3500
Granary,14,6350,7935,5555,1585,2d,,,,,,32000,,,,,5000
Granary,15,8890,11110,7780,2220,2.5d,,,,,,40000,,,,,7000
Granary,16,12445,15555,10890,3110,3d,,,,,,50000,,,,,10000
Granary,17,17425,21780,15245,4355,4d,,,,,,62000,,,,,14000
Granary,18,24395,30490,21345,6100,5d,,,,,,76000,,,,,20000
Granary,19,34150,42690,29880,8540,7d,,,,,,92000,,,,,28000
Granary,20,47810,59765,41835,11955,10d,,,,,,110000,,,,,40000
Barracks,1,200,150,80,100,30s,,,,,,,1,,,,10
Barracks,2,280,210,110,140,1m,,,,,,,1.08,,,,20
Barracks,3,390,295,155,195,5m,,,,,,,1.16,,,,40
Barracks,4,550,410,220,275,15m,,,,,,,1.25,,,,80
Barracks,5,770,575,305,385,40m,,,,,,,1.34,,,,150
Barracks,6,1075,805,430,540,1h,,,,,,,1.43,,,,250
Barracks,7,1505,1130,600,755,2h,,,,,,,1.52,,,,400
Barracks,8,2110,1580,845,1055,4h,,,,,,,1.62,,,,600
Barracks,9,2950,2215,1180,1475,8h,,,,,,,1.72,,,,900
Barracks,10,4130,3100,1655,2065,12h,,,,,,,1.82,,,,1300
Barracks,11,5785,4340,2315,2895,18h,,,,,,,1.92,,,,1800
Barracks,12,8100,6075,3240,4050,1d,,,,,,,2,,,,2500
Barracks,13,11340,8505,4535,5670,1.5d,,,,,,,2.08,,,,3500
Barracks,14,15875,11905,6350,7935,2d,,,,,,,2.15,,,,5000
Barracks,15,22225,16670,8890,11110,2.5d,,,,,,,2.22,,,,7000
Barracks,16,31115,23335,12445,15555,3d,,,,,,,2.28,,,,10000
Barracks,17,43560,32670,17425,21780,4d,,,,,,,2.34,,,,14000
Barracks,18,60985,45735,24395,30490,5d,,,,,,,2.4,,,,20000
Barracks,19,85375,64030,34150,42690,7d,,,,,,,2.45,,,,28000
Barracks,20,119525,89645,47810,59765,10d,,,,,,,2.5,,,,40000
Stable,1,260,180,120,100,30s,,,,,,,1,,,,10
Stable,2,365,250,170,140,1m,,,,,,,1.08,,,,20
Stable,3,510,355,235,195,5m,,,,,,,1.16,,,,40
Stable,4,715,495,330,275,15m,,,,,,,1.25,,,,80
Stable,5,1000,690,460,385,40m,,,,,,,1.34,,,,150
