Building,Level,CostWood,CostClay,CostIron,CostBrewery,UpgradeTime,ProdWood,ProdClay,ProdIron,ProdBrewery,WarehouseCap,GranaryCap,TrainMult,DefenseMult,CrannyCap,TradeRate,BuildSpeed,AttackMultInf,AttackMultCav,TrainMultInf,TrainMultCav,Score
WoodCutter,1,20,50,25,30,15s,20,,,,,,,,,,,,,,,10
WoodCutter,2,27,70,35,42,30s,36,,,,,,,,,,,,,,,20
WoodCutter,3,40,97,50,60,2.5m,60,,,,,,,,,,,,,,,40
WoodCutter,4,55,137,67,82,7.5m,88,,,,,,,,,,,,,,,80
WoodCutter,5,77,192,95,115,20m,132,,,,,,,,,,,,,,,150
WoodCutter,6,107,270,135,162,30m,176,,,,,,,,,,,,,,,250
WoodCutter,7,150,377,187,225,1h,236,,,,,,,,,,,,,,,400
WoodCutter,8,210,527,262,315,2h,312,,,,,,,,,,,,,,,600
WoodCutter,9,295,737,370,442,4h,416,,,,,,,,,,,,,,,900
WoodCutter,10,412,1032,517,620,6h,552,,,,,,,,,,,,,,,1300
WoodCutter,11,577,1447,722,867,9h,736,,,,,,,,,,,,,,,1800
WoodCutter,12,810,2025,1012,1215,12h,980,,,,,,,,,,,,,,,2500
WoodCutter,13,1135,2835,1417,1700,18h,1304,,,,,,,,,,,,,,,3500
WoodCutter,14,1587,3967,1985,2380,1d,1732,,,,,,,,,,,,,,,5000
WoodCutter,15,2222,5555,2777,3332,1.25d,2304,,,,,,,,,,,,,,,7000
WoodCutter,16,3112,7777,3890,4667,1.5d,3064,,,,,,,,,,,,,,,10000
WoodCutter,17,4355,10890,5445,6535,2d,4076,,,,,,,,,,,,,,,14000
WoodCutter,18,6097,15245,7622,9147,2.5d,5420,,,,,,,,,,,,,,,20000
WoodCutter,19,8537,21345,10672,12807,3.5d,7208,,,,,,,,,,,,,,,28000
WoodCutter,20,11952,29882,14940,17930,5d,9588,,,,,,,,,,,,,,,40000
ClayPit,1,40,20,25,30,15s,,20,,,,,,,,,,,,,,10
